Language_ID,Parameter_ID,Value,Name,Family
spa,30A,Two,Spanish,Indo-European
srn,30A,None,Sirionó,Tupian
sue,30A,None,Suena,Trans-New Guinea
sup,30A,Five or more,Supyire,Niger-Congo
swa,30A,Five or more,Swahili,Niger-Congo
tab,30A,None,Taba,Austronesian
tag,30A,Two,Tagalog,Austronesian
tap,30A,Two,Taiap,Gapun
tgr,30A,Two,Tigré,Afro-Asiatic
tha,30A,None,Thai,Tai-Kadai
tho,30A,None,Thompson,Salishan
tib,30A,None,Tibetan (Standard Spoken),Sino-Tibetan
tid,30A,Three,Tidore,West Papuan
tiw,30A,Two,Tiwi,Tiwian
tml,30A,Three,Tamil,Dravidian
tot,30A,None,Totonac (Misantla),Totonacan
tsh,30A,None,Tümpisa Shoshone,Uto-Aztecan
tsi,30A,None,Tsimshian (Coast),Penutian
tsz,30A,Four,Tsez,Nakh-Daghestanian
tuk,30A,None,Tukang Besi,Austronesian
tur,30A,None,Turkish,Altaic
tvl,30A,None,Tuvaluan,Austronesian
uhi,30A,None,Uradhi,Pama-Nyungan
ukr,30A,Three,Ukrainian,Indo-European
una,30A,None,Una,Trans-New Guinea
urk,30A,None,Urubú-Kaapor,Tupian
usa,30A,None,Usan,Trans-New Guinea
uzb,30A,None,Uzbek,Altaic
vie,30A,None,Vietnamese,Austro-Asiatic
wam,30A,Four,Wambaya,Mirndi
war,30A,Three,Wari',Chapacura-Wanham
wat,30A,None,Watjarri,Pama-Nyungan
wic,30A,None,Wichita,Caddoan
wrd,30A,Three,Wardaman,Yangmanic
yaq,30A,None,Yaqui,Uto-Aztecan
yaz,30A,Two,Yazgulyam,Indo-European
yel,30A,None,Yelî Dnye,Yele
yid,30A,None,Yidiny,Pama-Nyungan
yim,30A,Five or more,Yimas,Lower Sepik-Ramu
yko,30A,None,Yukaghir (Kolyma),Yukaghir
ykt,30A,None,Yakut,Altaic
ylb,30A,None,Yulparija,Pama-Nyungan
yor,30A,None,Yoruba,Niger-Congo
ypk,30A,None,Yup'ik (Central),Eskimo-Aleut
yur,30A,None,Yurok,Algic
zan,30A,Four,Zande,Niger-Congo
zqc,30A,None,Zoque (Copainalá),Mixe-Zoque
zul,30A,Five or more,Zulu,Niger-Congo
