Language_ID,Parameter_ID,Value,Name,Family
bbu,69A,Tense-aspect prefixes,Barambu,Niger-Congo
bbw,69A,Mixed type,Bininj Gun-Wok,Gunwinyguan
bco,69A,Tense-aspect suffixes,Bella Coola,Salishan
bdm,69A,Tense-aspect suffixes,Badimaya,Pama-Nyungan
bdu,69A,Mixed type,Budu,Niger-Congo
bej,69A,Tense-aspect suffixes,Beja,Afro-Asiatic
bel,69A,Tense-aspect suffixes,Belhare,Sino-Tibetan
bem,69A,Tense-aspect prefixes,Bemba,Niger-Congo
bfg,69A,Mixed type,Berber (Figuig),Afro-Asiatic
bgn,69A,Tense-aspect suffixes,Bugun,Sino-Tibetan
bgo,69A,Tense-aspect prefixes,Bongo,Central Sudanic
bgr,69A,Tense-aspect prefixes,Bagiro,Central Sudanic
bho,69A,Tense-aspect suffixes,Bhojpuri,Indo-European
bia,69A,Mixed type,Bila,Niger-Congo
big,69A,Tense-aspect prefixes,Binga,Central Sudanic
bii,69A,Tense-aspect suffixes,Biri,Pama-Nyungan
bik,69A,No tense-aspect inflection,Biak,Austronesian
bil,69A,Tense-aspect suffixes,Bilua,Solomons East Papuan
bin,69A,Tense-aspect suffixes,Binandere,Trans-New Guinea
bio,69A,Tense-aspect suffixes,Nai,Kwomtari
bir,69A,Tense-aspect prefixes,Birom,Niger-Congo
bkb,69A,Tense-aspect suffixes,Betta Kurumba,Dravidian
bkl,69A,Mixed type,Bikol,Austronesian
bkr,69A,Tense-aspect suffixes,Batak (Karo),Austronesian
bku,69A,Tense-aspect prefixes,Bakueri,Niger-Congo
bla,69A,Tense-aspect prefixes,Blackfoot,Algic
ble,69A,Tense-aspect tone,Baoulé,Niger-Congo
bln,69A,Tense-aspect suffixes,Bilin,Afro-Asiatic
blr,69A,Mixed type,Belorussian,Indo-European
blt,69A,Tense-aspect suffixes,Balti,Sino-Tibetan
blx,69A,Tense-aspect suffixes,Biloxi,Siouan
bma,69A,Mixed type,Berber (Middle Atlas),Afro-Asiatic
bmb,69A,Tense-aspect suffixes,Bimoba,Niger-Congo
bmr,69A,Tense-aspect suffixes,Burum,Trans-New Guinea
bnj,69A,Tense-aspect suffixes,Bandjalang,Pama-Nyungan
bnn,69A,Tense-aspect prefixes,Banoni,Austronesian
bnr,69A,Tense-aspect suffixes,Bilinarra,Pama-Nyungan
bnu,69A,Tense-aspect suffixes,Bularnu,Pama-Nyungan
boa,69A,Mixed type,Boazi (Kuni),Anim
bod,69A,Tense-aspect suffixes,Bodo,Sino-Tibetan
boi,69A,Tense-aspect suffixes,Boiken,Sepik
boj,69A,Tense-aspect suffixes,Bori,Sino-Tibetan
bre,69A,Tense-aspect suffixes,Breton,Indo-European
brf,69A,Tense-aspect prefixes,Berber (Rif),Afro-Asiatic
brh,69A,Tense-aspect suffixes,Brahui,Dravidian
bri,69A,Tense-aspect suffixes,Bribri,Chibchan
brm,69A,Tense-aspect suffixes,Burmese,Sino-Tibetan
brn,69A,Tense-aspect suffixes,Burunge,Afro-Asiatic
brr,69A,Tense-aspect suffixes,Bororo,Bororoan
brs,69A,Tense-aspect suffixes,Barasano,Tucanoan
bry,69A,Tense-aspect suffixes,Baruya,Trans-New Guinea
bsh,69A,Tense-aspect prefixes,Bushoong,Niger-Congo
bsk,69A,Tense-aspect suffixes,Bashkir,Altaic
btk,69A,Tense-aspect prefixes,Bontok,Austronesian
bua,69A,Tense-aspect suffixes,Burarra,Mangrida
bud,69A,Tense-aspect prefixes,Buduma,Afro-Asiatic
bul,69A,Tense-aspect suffixes,Bulgarian,Indo-European
bun,69A,Tense-aspect suffixes,Buin,East Bougainville
but,69A,Tense-aspect suffixes,Buriat,Altaic
bya,69A,Tense-aspect suffixes,Byansi,Sino-Tibetan
bzi,69A,Tense-aspect suffixes,Bauzi,East Geelvink Bay
cah,69A,Tense-aspect suffixes,Cahuilla,Uto-Aztecan
car,69A,Tense-aspect suffixes,Carib,Cariban
cas,69A,Tense-aspect suffixes,Cashibo,Panoan
cax,69A,Tense-aspect suffixes,Campa (Axininca),Arawakan
cay,69A,Tense-aspect suffixes,Cayapa,Barbacoan
cba,69A,Tense-aspect suffixes,Chumash (Barbareño),Chumash
cbo,69A,Tense-aspect suffixes,Chácobo,Panoan
ccm,69A,Mixed type,Chinantec (Comaltepec),Oto-Manguean
cct,69A,Tense-aspect suffixes,Choctaw,Muskogean
cde,69A,Tense-aspect suffixes,Carib (De'kwana),Cariban
ceb,69A,Tense-aspect prefixes,Cebuano,Austronesian
cem,69A,No tense-aspect inflection,Cèmuhî,Austronesian
chb,69A,Tense-aspect suffixes,Chambri,Lower Sepik-Ramu
chc,69A,Tense-aspect suffixes,Chechen,Nakh-Daghestanian
che,69A,Tense-aspect suffixes,Cherokee,Iroquoian
chg,69A,Tense-aspect suffixes,Chang,Sino-Tibetan
chh,69A,Mixed type,Chaha,Afro-Asiatic
chi,69A,Tense-aspect suffixes,Chimariko,Hokan
chj,69A,Tense-aspect prefixes,Chuj,Mayan
chk,69A,Mixed type,Chukchi,Chukotko-Kamchatkan
chn,69A,Tense-aspect suffixes,Chantyal,Sino-Tibetan
chp,69A,Tense-aspect prefixes,Chipewyan,Na-Dene
chq,69A,Mixed type,Chinantec (Quiotepec),Oto-Manguean
chr,69A,No tense-aspect inflection,Chrau,Austro-Asiatic
chs,69A,No tense-aspect inflection,Chin (Siyin),Sino-Tibetan
chv,69A,Tense-aspect suffixes,Chuvash,Altaic
chx,69A,Tense-aspect suffixes,Chontal (Huamelultec Oaxaca),Tequistlatecan
cic,69A,Tense-aspect prefixes,Chichewa,Niger-Congo
ckl,69A,Mixed type,Chinook (Lower),Penutian
cld,69A,Tense-aspect suffixes,Chaldean (Modern),Afro-Asiatic
cle,69A,Mixed type,Chinantec (Lealao),Oto-Manguean
cln,69A,Tense-aspect suffixes,Cholón,Cholon
cmh,69A,Tense-aspect suffixes,Chemehuevi,Uto-Aztecan
cmn,69A,Tense-aspect suffixes,Comanche,Uto-Aztecan
cmy,69A,Tense-aspect suffixes,Chontal Maya,Mayan
cnl,69A,No tense-aspect inflection,Canela,Macro-Ge
cnm,69A,Tense-aspect suffixes,Canamarí,Katukinan
cnt,69A,Tense-aspect suffixes,Cantonese,Sino-Tibetan
coa,69A,Tense-aspect suffixes,Coahuilteco,Coahuiltecan
coc,69A,No tense-aspect inflection,Cocama,Tupian
coe,69A,Tense-aspect prefixes,Coeur d'Alene,Salishan
coo,69A,Tense-aspect suffixes,Coos (Hanis),Oregon Coast
cop,69A,No tense-aspect inflection,Coptic,Afro-Asiatic
cos,69A,Tense-aspect suffixes,Rumsien,Penutian
cpl,69A,Tense-aspect prefixes,Chinantec (Palantla),Oto-Manguean
cpy,69A,Tense-aspect suffixes,Chipaya,Uru-Chipaya
cqt,69A,Tense-aspect prefixes,Chiquitano,Chiquito
cre,69A,Tense-aspect prefixes,Cree (Plains),Algic
crn,69A,Tense-aspect suffixes,Cornish,Indo-European
crp,69A,Tense-aspect suffixes,Carapana,Tucanoan
cso,69A,Tense-aspect prefixes,Chatino (Sierra Occidental),Oto-Manguean
cti,69A,No tense-aspect inflection,Chin (Tiddim),Sino-Tibetan
cub,69A,Tense-aspect suffixes,Cubeo,Tucanoan
cui,69A,Tense-aspect suffixes,Cuiba,Guahiban
cup,69A,Tense-aspect suffixes,Cupeño,Uto-Aztecan
cya,69A,Mixed type,Chatino (Yaitepec),Oto-Manguean
cze,69A,Mixed type,Czech,Indo-European
dag,69A,Tense-aspect suffixes,Daga,Dagan
dan,69A,Tense-aspect suffixes,Dan,Mande
daw,69A,Tense-aspect suffixes,Dâw,Nadahup
dds,69A,Mixed type,Donno So,Dogon
der,69A,Tense-aspect suffixes,Dla (Proper),Senagi
des,69A,Tense-aspect suffixes,Desano,Tucanoan
deu,69A,Tense-aspect suffixes,Deuri,Sino-Tibetan
dgb,69A,Mixed type,Dagbani,Niger-Congo
dgo,69A,Tense-aspect suffixes,Dongo,Niger-Congo
dgr,69A,Tense-aspect suffixes,Dagur,Altaic
dhb,69A,Tense-aspect suffixes,Dharumbal,Pama-Nyungan
dhm,69A,Tense-aspect suffixes,Dhimal,Sino-Tibetan
dhr,69A,Tense-aspect suffixes,Dhargari,Pama-Nyungan
dhw,69A,Tense-aspect suffixes,Dharawal,Pama-Nyungan
die,69A,Mixed type,Diegueño (Mesa Grande),Hokan
dig,69A,Tense-aspect suffixes,Digaro,Sino-Tibetan
dim,69A,Tense-aspect suffixes,Dime,Afro-Asiatic
din,69A,No tense-aspect inflection,Dinka,Eastern Sudanic
dio,69A,Mixed type,Diola-Fogny,Niger-Congo
diy,69A,Tense-aspect suffixes,Diyari,Pama-Nyungan
dja,69A,Tense-aspect suffixes,Djabugay,Pama-Nyungan
dji,69A,Tense-aspect suffixes,Djingili,Mirndi
djm,69A,Tense-aspect suffixes,Djambarrpuyngu,Pama-Nyungan
djn,69A,Tense-aspect suffixes,Djinang,Pama-Nyungan
djp,69A,Tense-aspect suffixes,Djapu,Pama-Nyungan
djr,69A,Tense-aspect suffixes,Djaru,Pama-Nyungan
dlm,69A,Tense-aspect suffixes,Dla (Menggwa),Senagi
dmi,69A,Tense-aspect suffixes,Dumi,Sino-Tibetan
dmk,69A,Tense-aspect suffixes,Domaaki,Indo-European
dms,69A,Tense-aspect suffixes,Dimasa,Sino-Tibetan
dni,69A,Tense-aspect suffixes,Dani (Lower Grand Valley),Trans-New Guinea
dom,69A,Tense-aspect suffixes,Domari,Indo-European
doy,69A,Tense-aspect tone,Doyayo,Niger-Congo
dre,69A,No tense-aspect inflection,Drehu,Austronesian
drm,69A,Tense-aspect suffixes,Darma,Sino-Tibetan
dsh,69A,Tense-aspect suffixes,Danish,Indo-European
duk,69A,Tense-aspect suffixes,Duka,Niger-Congo
dun,69A,Tense-aspect suffixes,Duna,Trans-New Guinea
dut,69A,Tense-aspect suffixes,Dutch,Indo-European
dyi,69A,Tense-aspect suffixes,Dyirbal,Pama-Nyungan
egn,69A,Tense-aspect tone,Engenni,Niger-Congo
eip,69A,Tense-aspect suffixes,Eipo,Trans-New Guinea
eka,69A,Tense-aspect suffixes,Ekari,Trans-New Guinea
emb,69A,Tense-aspect suffixes,Emberá (Northern),Choco
eme,69A,Tense-aspect suffixes,Émérillon,Tupian
ene,69A,Tense-aspect suffixes,Enets,Uralic
eng,69A,Tense-aspect suffixes,English,Indo-European
eno,69A,Mixed type,Enggano,Austronesian
epe,69A,Tense-aspect suffixes,Epena Pedee,Choco
erk,69A,No tense-aspect inflection,Efate (South),Austronesian
ese,69A,Tense-aspect suffixes,Ese Ejja,Tacanan
est,69A,Tense-aspect suffixes,Estonian,Uralic
eud,69A,Tense-aspect suffixes,Eudeve,Uto-Aztecan
eve,69A,Tense-aspect suffixes,Evenki,Altaic
evn,69A,Tense-aspect suffixes,Even,Altaic
ewo,69A,Tense-aspect prefixes,Ewondo,Niger-Congo
fas,69A,Tense-aspect suffixes,Fasu,Trans-New Guinea
fij,69A,No tense-aspect inflection,Fijian,Austronesian
fin,69A,Tense-aspect suffixes,Finnish,Uralic
fon,69A,No tense-aspect inflection,Fongbe,Niger-Congo
for,69A,Tense-aspect suffixes,Fore,Trans-New Guinea
fqs,69A,Tense-aspect suffixes,Momu,Baibai-Fas
fre,69A,Tense-aspect suffixes,French,Indo-European
fua,69A,Tense-aspect suffixes,Fulfulde (Adamawa),Niger-Congo
fut,69A,No tense-aspect inflection,Futuna-Aniwa,Austronesian
fye,69A,Tense-aspect suffixes,Fyem,Niger-Congo
gae,69A,Mixed type,Gaelic (Scots),Indo-European
gah,69A,Tense-aspect suffixes,Gahuku,Trans-New Guinea
gal,69A,Tense-aspect suffixes,Galo,Sino-Tibetan
gar,69A,Tense-aspect suffixes,Garo,Sino-Tibetan
gbb,69A,Tense-aspect suffixes,Gbeya Bossangoa,Niger-Congo
gbs,69A,Mixed type,Gbaya (Southwest),Niger-Congo
gds,69A,Tense-aspect suffixes,Gadsup,Trans-New Guinea
geo,69A,Tense-aspect suffixes,Georgian,Kartvelian
ger,69A,Tense-aspect suffixes,German,Indo-European
ggu,69A,Tense-aspect suffixes,Gureng Gureng,Pama-Nyungan
gid,69A,Tense-aspect suffixes,Gidabal,Pama-Nyungan
gim,69A,Tense-aspect suffixes,Gimira,Afro-Asiatic
gln,69A,Tense-aspect suffixes,Golin,Trans-New Guinea
gmw,69A,Tense-aspect prefixes,Gumawana,Austronesian
gnb,69A,Mixed type,Gunbalang,Gunwinyguan
gnn,69A,Tense-aspect suffixes,Gunin,Worrorran
goa,69A,Tense-aspect suffixes,Goajiro,Arawakan
goe,69A,No tense-aspect inflection,Goemai,Afro-Asiatic
gog,69A,Tense-aspect suffixes,Gogodala,Gogodala-Suki
gok,69A,Tense-aspect tone,Gokana,Niger-Congo
gon,69A,Tense-aspect suffixes,Gondi,Dravidian
goo,69A,Tense-aspect prefixes,Gooniyandi,Bunuban
grb,69A,Tense-aspect suffixes,Grebo,Niger-Congo
grf,69A,Tense-aspect suffixes,Garífuna,Arawakan
grj,69A,Tense-aspect suffixes,Guarijío,Uto-Aztecan
grk,69A,Tense-aspect suffixes,Greek (Modern),Indo-European
grr,69A,Tense-aspect suffixes,Garrwa,Garrwan
grs,69A,Tense-aspect suffixes,Garus,Trans-New Guinea
grw,69A,Tense-aspect suffixes,Greenlandic (West),Eskimo-Aleut
gua,69A,No tense-aspect inflection,Guaraní,Tupian
gud,69A,Tense-aspect suffixes,Gude,Afro-Asiatic
gug,69A,Tense-aspect suffixes,Gugada,Pama-Nyungan
guh,69A,Tense-aspect suffixes,Guhu-Samane,Trans-New Guinea
guj,69A,Tense-aspect suffixes,Gujarati,Indo-European
gum,69A,Tense-aspect suffixes,Gumbaynggir,Pama-Nyungan
gur,69A,Tense-aspect suffixes,Gurung,Sino-Tibetan
guu,69A,Tense-aspect suffixes,Guugu Yimidhirr,Pama-Nyungan
gyc,69A,Tense-aspect prefixes,Gyarong (Cogtse),Sino-Tibetan
hak,69A,Tense-aspect suffixes,Hakka,Sino-Tibetan
hal,69A,Tense-aspect suffixes,Halia,Austronesian
ham,69A,Mixed type,Hamtai,Trans-New Guinea
har,69A,Tense-aspect suffixes,Haruai,Piawi
hat,69A,No tense-aspect inflection,Hatam,West Papuan
hau,69A,No tense-aspect inflection,Hausa,Afro-Asiatic
hay,69A,Tense-aspect suffixes,Hayu,Sino-Tibetan
heb,69A,Mixed type,Hebrew (Modern),Afro-Asiatic
hin,69A,Tense-aspect suffixes,Hindi,Indo-European
hix,69A,Tense-aspect suffixes,Hixkaryana,Cariban
hlp,69A,Tense-aspect suffixes,Hualapai,Hokan
hma,69A,No tense-aspect inflection,Hmar,Sino-Tibetan
hmi,69A,Tense-aspect suffixes,Huitoto (Minica),Huitotoan
hmo,69A,No tense-aspect inflection,Hmong Njua,Hmong-Mien
hnd,69A,Tense-aspect prefixes,Hunde,Niger-Congo
ho,69A,Tense-aspect suffixes,Ho,Austro-Asiatic
hop,69A,Tense-aspect suffixes,Hopi,Uto-Aztecan
hpd,69A,Tense-aspect suffixes,Hup,Nadahup
htc,69A,No tense-aspect inflection,Huastec,Mayan
hua,69A,Tense-aspect suffixes,Hua,Trans-New Guinea
hui,69A,Tense-aspect suffixes,Huichol,Uto-Aztecan
hum,69A,Tense-aspect suffixes,Huitoto (Murui),Huitotoan
hun,69A,Tense-aspect suffixes,Hungarian,Uralic
hup,69A,Mixed type,Hupa,Na-Dene
hve,69A,Mixed type,Huave (San Mateo del Mar),Huavean
hya,69A,Tense-aspect prefixes,Haya,Niger-Congo
hzb,69A,Tense-aspect suffixes,Hunzib,Nakh-Daghestanian
iaa,69A,No tense-aspect inflection,Iaai,Austronesian
iat,69A,Tense-aspect suffixes,Iatmul,Sepik
iba,69A,No tense-aspect inflection,Iban,Austronesian
ice,69A,Tense-aspect suffixes,Icelandic,Indo-European
idn,69A,Tense-aspect prefixes,Iduna,Austronesian
ifu,69A,Tense-aspect prefixes,Ifugao (Batad),Austronesian
igb,69A,Tense-aspect suffixes,Igbo,Niger-Congo
ign,69A,Tense-aspect suffixes,Ignaciano,Arawakan
igs,69A,Tense-aspect suffixes,Ingessana,Eastern Sudanic
iha,69A,Tense-aspect suffixes,Iha,West Bomberai
ijo,69A,Tense-aspect suffixes,Ijo (Kolokuma),Ijoid
ik,69A,Tense-aspect suffixes,Ik,Eastern Sudanic
ika,69A,Tense-aspect suffixes,Ika,Chibchan
ila,69A,Tense-aspect prefixes,Ila,Niger-Congo
imo,69A,Tense-aspect suffixes,Imonda,Border
ina,69A,Tense-aspect suffixes,Inanwatan,South Bird's Head
ind,69A,Tense-aspect suffixes,Indonesian,Austronesian
ing,69A,Tense-aspect suffixes,Ingush,Nakh-Daghestanian
inn,69A,Tense-aspect suffixes,Innamincka,Pama-Nyungan
iqu,69A,Tense-aspect suffixes,Iquito,Zaparoan
iri,69A,Mixed type,Irish,Indo-European
irq,69A,No tense-aspect inflection,Iraqw,Afro-Asiatic
irr,69A,Tense-aspect prefixes,Irarutu,Austronesian
isa,69A,No tense-aspect inflection,I'saka,Skou
ita,69A,Tense-aspect suffixes,Italian,Indo-European
ite,69A,Tense-aspect suffixes,Itelmen,Chukotko-Kamchatkan
iwa,69A,Tense-aspect suffixes,Iwaidja,Iwaidjan
iwm,69A,Tense-aspect prefixes,Iwam,Sepik
ixi,69A,Tense-aspect prefixes,Ixil,Mayan
izi,69A,Mixed type,Izi,Niger-Congo
jab,69A,Tense-aspect prefixes,Jabêm,Austronesian
jak,69A,Mixed type,Jakaltek,Mayan
jam,69A,Tense-aspect suffixes,Jaminjung,Mirndi
jaq,69A,Tense-aspect suffixes,Jaqaru,Aymaran
jeb,69A,Tense-aspect suffixes,Jebero,Cahuapanan
jin,69A,No tense-aspect inflection,Jino,Sino-Tibetan
jiv,69A,Tense-aspect suffixes,Jivaro,Jivaroan
jmo,69A,No tense-aspect inflection,Jur Mödö,Central Sudanic
jms,69A,Mixed type,Jamsay,Dogon
jng,69A,No tense-aspect inflection,Jingpho,Sino-Tibetan
juh,69A,No tense-aspect inflection,Ju|'hoan,Kxa
juk,69A,No tense-aspect inflection,Jukun,Niger-Congo
jva,69A,Tense-aspect suffixes,Karajá,Macro-Ge
jwr,69A,Tense-aspect suffixes,Jarawara,Arauan
kaa,69A,No tense-aspect inflection,Karó (Arára),Tupian
kab,69A,Mixed type,Kabardian,Northwest Caucasian
kac,69A,Tense-aspect suffixes,Kachari,Sino-Tibetan
kad,69A,Tense-aspect prefixes,Kadugli,Kadu
kam,69A,No tense-aspect inflection,Kambera,Austronesian
kan,69A,Mixed type,Kana,Niger-Congo
kar,69A,Tense-aspect suffixes,Kara (in Central African Republic),Central Sudanic
kay,69A,Tense-aspect suffixes,Kayardild,Tangkic
kba,69A,Tense-aspect prefixes,Kamba,Niger-Congo
kbo,69A,Tense-aspect suffixes,Kambot,Lower Sepik-Ramu
kbu,69A,Tense-aspect suffixes,Kanembu,Saharan
kbw,69A,No tense-aspect inflection,Karen (Bwe),Sino-Tibetan
kch,69A,No tense-aspect inflection,Koyra Chiini,Songhay
kel,69A,Tense-aspect prefixes,Kele,Austronesian
kem,69A,Tense-aspect suffixes,Kemant,Afro-Asiatic
ker,69A,Tense-aspect suffixes,Kera,Afro-Asiatic
ket,69A,Tense-aspect prefixes,Ket,Yeniseian
kew,69A,Tense-aspect suffixes,Kewa,Trans-New Guinea
kfe,69A,Tense-aspect suffixes,Koromfe,Niger-Congo
kgr,69A,Mixed type,Kagulu,Niger-Congo
kgu,69A,Tense-aspect suffixes,Kalkatungu,Pama-Nyungan
kgz,69A,Tense-aspect suffixes,Kirghiz,Altaic
kha,69A,Tense-aspect suffixes,Khalkha,Altaic
khg,69A,Tense-aspect suffixes,Khaling,Sino-Tibetan
khi,69A,Tense-aspect suffixes,Khinalug,Nakh-Daghestanian
khl,69A,Tense-aspect suffixes,Khalaj,Altaic
khm,69A,No tense-aspect inflection,Khmer,Austro-Asiatic
kho,69A,No tense-aspect inflection,Nama,Khoe-Kwadi
khr,69A,No tense-aspect inflection,Kharia,Austro-Asiatic
khs,69A,No tense-aspect inflection,Khasi,Austro-Asiatic
kik,69A,Mixed type,Kikuyu,Niger-Congo
kim,69A,No tense-aspect inflection,Kimaghama,Kolopom
kin,69A,Tense-aspect prefixes,Kinyarwanda,Niger-Congo
kio,69A,Tense-aspect suffixes,Kiowa,Kiowa-Tanoan
kir,69A,No tense-aspect inflection,Kirma,Niger-Congo
kis,69A,Tense-aspect tone,Kisi,Niger-Congo
kiw,69A,Tense-aspect suffixes,Kiwai (Southern),Kiwaian
kkp,69A,Tense-aspect suffixes,Karakalpak,Altaic
kku,69A,Tense-aspect suffixes,Korku,Austro-Asiatic
kkv,69A,Tense-aspect prefixes,Lusi,Austronesian
klm,69A,Tense-aspect suffixes,Klamath,Penutian
klq,69A,Tense-aspect suffixes,Kalam,Trans-New Guinea
kls,69A,Mixed type,Kalispel,Salishan
klv,69A,Tense-aspect prefixes,Kilivila,Austronesian
klw,69A,Tense-aspect prefixes,Kiliwa,Hokan
kma,69A,Tense-aspect suffixes,Kamaiurá,Tupian
kmb,69A,Tense-aspect suffixes,Kombai,Trans-New Guinea
kmh,69A,Tense-aspect suffixes,Kham,Sino-Tibetan
kmj,69A,Tense-aspect suffixes,Karimojong,Eastern Sudanic
kmk,69A,Tense-aspect suffixes,Kalmyk,Altaic
kmn,69A,Tense-aspect suffixes,Kuman,Trans-New Guinea
kmo,69A,Tense-aspect suffixes,Koiali (Mountain),Trans-New Guinea
kmp,69A,Tense-aspect suffixes,Kunimaipa,Trans-New Guinea
kmr,69A,Mixed type,Kamoro,Trans-New Guinea
kms,69A,Tense-aspect suffixes,Kamass,Uralic
kmu,69A,No tense-aspect inflection,Khmu',Austro-Asiatic
kmz,69A,No tense-aspect inflection,Kamasau,Torricelli
